City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,derzhavinsk,51.1,66.3167,8.92,59,92,3.02,KZ,1681342554
109,delhi,28.6667,77.2167,24.05,41,20,1.03,IN,1681342087
110,labytnangi,66.6572,66.4183,-25.37,88,48,2.09,RU,1681342555
111,krasnoselkup,65.7,82.4667,-26.05,98,88,4.21,RU,1681342556
112,lavrentiya,65.5833,-171.0,-13.19,76,68,1.96,RU,1681342556
113,rawson,-43.3002,-65.1023,8.49,52,53,5.28,AR,1681342556
114,tessalit,20.1986,1.0114,29.07,9,99,2.2,ML,1681342556
115,longyearbyen,78.2186,15.6401,-0.09,74,75,4.63,SJ,1681342557
116,castro,-24.7911,-50.0119,16.62,85,67,1.28,BR,1681342557
117,axim,4.8699,-2.2405,26.6,89,33,2.75,GH,1681342557
118,amboasary,-25.0333,46.3833,21.56,93,24,0.42,MG,1681342557
119,lamu,-2.2717,40.902,28.12,77,61,3.15,KE,1681342558
120,narsaq,60.9167,-46.05,1.12,82,77,1.75,GL,1681342558
121,kodiak,57.79,-152.4072,6.73,45,75,6.69,US,1681342558
122,tiksi,71.6872,128.8694,-21.89,99,93,1.94,RU,1681342558
123,juneau,58.3019,-134.4197,4.56,94,100,8.23,US,1681342266
124,nsanje,-16.92,35.262,20.29,99,56,1.7,MW,1681342558
125,kara,9.5511,1.1861,28.27,55,84,0.89,TG,1681342559
126,la palma,33.8464,-118.0467,19.15,82,100,2.57,US,1681342560
127,corn island,12.1694,-83.0418,27.05,77,8,7.03,NI,1681342560
128,mitsamiouli,-11.3847,43.2844,27.15,76,71,2.0,KM,1681342560
129,richards bay,-28.783,32.0377,19.81,84,100,3.66,ZA,1681342560
130,egvekinot,66.3167,-179.1667,-16.21,75,100,1.46,RU,1681342560
131,husavik,66.0449,-17.3389,1.65,85,100,1.29,IS,1681342560
132,severo-kurilsk,50.6789,156.125,0.02,95,100,13.51,RU,1681342561
133,aklavik,68.2191,-135.0107,-15.0,39,75,2.57,CA,1681342561
134,luwuk,-0.9516,122.7875,28.18,74,66,0.31,ID,1681342561
135,krabi,8.0726,98.9105,24.11,100,20,1.03,TH,1681342561
136,kontagora,10.3999,5.4695,29.01,32,52,1.71,NG,1681342561
137,sobolevo,54.4299,31.8996,8.8,63,100,4.3,RU,1681342561
138,lewistown,40.5992,-77.5714,26.41,33,0,4.63,US,1681342562
139,codrington,-38.2667,141.9667,17.89,78,77,3.72,AU,1681342562
140,haines junction,60.7522,-137.5108,1.97,48,100,5.66,CA,1681342562
141,poronaysk,49.2167,143.1167,1.02,92,82,2.99,RU,1681342563
142,zolotkovo,55.5281,41.1053,7.49,65,100,2.23,RU,1681342564
143,mount gambier,-37.8333,140.7667,17.1,85,86,1.69,AU,1681342564
144,victoria,22.2855,114.1577,23.44,87,98,0.89,HK,1681342053
145,kuala terengganu,5.3302,103.1408,25.97,94,20,1.54,MY,1681342565
146,namatanai,-3.6667,152.4333,26.45,81,100,3.65,PG,1681342565
147,bardiyah,31.7561,25.0865,14.6,75,0,5.74,LY,1681342566
148,gazanjyk,39.2446,55.5154,25.64,24,100,3.82,TM,1681342566
149,oranjestad,12.524,-70.027,26.62,85,100,1.34,AW,1681342566
150,tuktoyaktuk,69.4541,-133.0374,-19.0,71,40,8.23,CA,1681342567
151,cheyenne,41.14,-104.8203,24.02,12,0,7.72,US,1681342425
152,stanisesti,46.4333,27.3,8.62,79,84,3.83,RO,1681342567
153,naze,28.3667,129.4833,20.51,68,37,6.48,JP,1681342567
154,portland,45.5234,-122.6762,11.75,69,75,2.68,US,1681342463
155,yuanping,38.7153,112.7575,14.43,38,100,0.89,CN,1681342568
156,gizo,-8.103,156.8419,28.58,68,81,1.61,SB,1681342568
157,praia da vitoria,38.7333,-27.0667,16.53,88,20,3.65,PT,1681342568
158,bambous virieux,-20.3428,57.7575,25.14,83,20,1.54,MU,1681342568
159,bandarbeyla,9.4942,50.8122,27.68,77,92,2.7,SO,1681342568
160,mayo,38.8876,-76.5119,28.97,36,0,3.6,US,1681342569
161,poum,-20.2333,164.0167,26.28,76,6,2.55,NC,1681342569
162,san cristobal,7.7669,-72.225,24.1,89,96,1.02,VE,1681342550
163,namwala,-15.7504,26.4384,17.9,87,92,1.61,ZM,1681342455
164,maragogi,-9.0122,-35.2225,24.78,87,93,2.5,BR,1681342572
165,genhe,50.7833,121.5167,-1.96,62,48,3.04,CN,1681342573
166,san patricio,28.017,-97.5169,25.09,59,6,5.0,US,1681342574
167,lompoc,34.6391,-120.4579,17.1,72,75,11.83,US,1681342433
168,machali,-34.1833,-70.6667,17.57,67,100,1.02,CL,1681342575
169,agvali,42.5385,46.1197,11.92,75,100,0.63,RU,1681342577
170,katsuura,35.1333,140.3,15.18,52,77,3.7,JP,1681342577
171,bethel,41.3712,-73.414,27.05,22,0,3.6,US,1681342577
172,beroroha,-21.6667,45.1667,23.17,69,100,0.39,MG,1681342578
173,ribeira grande,38.5167,-28.7,16.54,94,73,2.68,PT,1681342494
174,foix,42.8333,1.5833,3.76,96,99,2.16,FR,1681342578
175,east london,-33.0153,27.9116,18.82,68,100,3.83,ZA,1681342579
176,airai,-8.9266,125.4092,20.58,72,98,0.33,TL,1681342579
177,zumpahuacan,18.9,-99.55,22.64,72,80,1.49,MX,1681342579
178,vao,-22.6667,167.4833,25.04,76,100,1.66,NC,1681342579
